Model,Mrp,Rating,Review,Specs,Brand,Model_name,Color,Price,Ratings,Reviews,RAM,ROM,Expandable Upto
"MOTOROLA e32 (Arctic Blue, 64 GB)","₹8,999",4.2,157 Ratings & 18 Reviews,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,MOTOROLA,e32,Arctic Blue,8999.0,157.0,18.0,4.0,64.0,1 TB
"SAMSUNG Galaxy M32 (Black, 64 GB)","₹12,475",4.2,"4,237 Ratings & 431 Reviews",4 GB RAM | 64 GB ROM,SAMSUNG,Galaxy M32,Black,12475.0,4237.0,431.0,4.0,64.0,
"SAMSUNG GALAXY M13 5G (Midnight Blue, 128 GB)","₹14,890",4.1,402 Ratings & 28 Reviews,6 GB RAM | 128 GB ROM,SAMSUNG,GALAXY M13 5G,Midnight Blue,14890.0,402.0,28.0,6.0,128.0,
"REDMI 10A (Charcoal Black, 64 GB)","₹8,960",4.2,"5,010 Ratings & 325 Reviews",4 GB RAM | 64 GB ROM,REDMI,10A,Charcoal Black,8960.0,5010.0,325.0,4.0,64.0,
"REDMI Note 12 Pro 5G (Stardust Purple, 128 GB)","₹26,999",,,8 GB RAM | 128 GB ROM,REDMI,Note 12 Pro 5G,Stardust Purple,26999.0,,,8.0,128.0,
"REDMI 11 Prime 5G (Chrome Silver, 64 GB)","₹13,998",4.2,791 Ratings & 57 Reviews,4 GB RAM | 64 GB ROM,REDMI,11 Prime 5G,Chrome Silver,13998.0,791.0,57.0,4.0,64.0,
"REDMI 11 Prime 5G (Meadow Green, 64 GB)","₹13,975",4.2,791 Ratings & 57 Reviews,4 GB RAM | 64 GB ROM,REDMI,11 Prime 5G,Meadow Green,13975.0,791.0,57.0,4.0,64.0,
Kechaoda A26,"₹1,199",4.1,"14,177 Ratings & 1,019 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,KECHAODA,A26,,1199.0,14177.0,1019.0,,,16 GB
"SAMSUNG Galaxy A13 (Blue, 128 GB)","₹16,499",4.1,257 Ratings & 19 Reviews,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy A13,Blue,16499.0,257.0,19.0,6.0,128.0,1 TB
Micromax X512,"₹1,135",3.9,"9,758 Ratings & 886 Reviews",56 MB RAM | 24 MB ROM,MICROMAX,X512,,1135.0,9758.0,886.0,,,
"vivo V23e 5G (Midnight Blue, 128 GB)","₹23,688",4.2,"1,890 Ratings & 172 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,VIVO,V23e 5G,Midnight Blue,23688.0,1890.0,172.0,8.0,128.0,1 TB
"realme 8i (Space Black, 64 GB)","₹13,999",4.5,"1,71,965 Ratings & 10,805 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,REALME,8i,Space Black,13999.0,171965.0,10805.0,4.0,64.0,256 GB
"vivo Y21G (Diamond Glow, 64 GB)","₹13,499",4.3,"1,985 Ratings & 159 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,VIVO,Y21G,Diamond Glow,13499.0,1985.0,159.0,4.0,64.0,1 TB
SAMSUNG GURU 1200,"₹1,690",4.1,459 Ratings & 28 Reviews,4 MB RAM | 4 MB ROM,SAMSUNG,GURU 1200,,1690.0,459.0,28.0,,,
"IQOO 9 5G (Alpha, 256 GB)","₹39,990",4.0,34 Ratings & 4 Reviews,12 GB RAM | 256 GB ROM,IQOO,9 5G,Alpha,39990.0,34.0,4.0,12.0,256.0,
"POCO M5 (Icy Blue, 128 GB)","₹12,999",4.3,"1,359 Ratings & 93 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,POCO,M5,Icy Blue,12999.0,1359.0,93.0,6.0,128.0,512 GB
DIZO Star 300,"₹1,445",3.9,"9,526 Ratings & 1,136 Reviews",32 MB RAM | 32 MB ROM | Expandable Upto 64 GB,DIZO,Star 300,,1445.0,9526.0,1136.0,,,64 GB
"SAMSUNG Galaxy A73 5G (Awesome Gray, 128 GB)","₹41,999",4.2,"1,256 Ratings & 165 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,SAMSUNG,Galaxy A73 5G,Awesome Gray,41999.0,1256.0,165.0,8.0,128.0,1 TB
"REDMI 9 Activ (Carbon Black, 64 GB)","₹8,091",4.2,"9,079 Ratings & 644 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,REDMI,9 Activ,Carbon Black,8091.0,9079.0,644.0,4.0,64.0,512 GB
"realme 8 (Cyber Silver, 128 GB)","₹17,999",4.4,"95,489 Ratings & 8,376 Reviews",8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,REALME,8,Cyber Silver,17999.0,95489.0,8376.0,8.0,128.0,256 GB
"REDMI Note 12 Pro 5G (Stardust Purple, 256 GB)","₹27,999",,,8 GB RAM | 256 GB ROM,REDMI,Note 12 Pro 5G,Stardust Purple,27999.0,,,8.0,256.0,
"APPLE iPhone 14 Plus (Starlight, 128 GB)","₹82,999",4.6,412 Ratings & 48 Reviews,128 GB ROM,APPLE,iPhone 14 Plus,Starlight,82999.0,412.0,48.0,,128.0,
"Google Pixel 7 (Lemongrass, 128 GB)","₹59,999",4.4,"1,775 Ratings & 329 Reviews",8 GB RAM | 128 GB ROM,GOOGLE,Pixel 7,Lemongrass,59999.0,1775.0,329.0,8.0,128.0,
"Google Pixel 7 (Obsidian, 128 GB)","₹59,999",4.4,"1,775 Ratings & 329 Reviews",8 GB RAM | 128 GB ROM,GOOGLE,Pixel 7,Obsidian,59999.0,1775.0,329.0,8.0,128.0,
"APPLE iPhone 14 Plus (Blue, 256 GB)","₹92,999",4.6,412 Ratings & 48 Reviews,256 GB ROM,APPLE,iPhone 14 Plus,Blue,92999.0,412.0,48.0,,256.0,
"SAMSUNG Galaxy M32 Prime Edition (Light Blue, 64 GB)","₹11,570",4.1,95 Ratings & 7 Reviews,4 GB RAM | 64 GB ROM,SAMSUNG,Galaxy M32 Prime Edition,Light Blue,11570.0,95.0,7.0,4.0,64.0,
"Infinix Zero 20 (Glitter Gold, 128 GB)","₹17,999",4.4,449 Ratings & 80 Reviews,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,INFINIX,Zero 20,Glitter Gold,17999.0,449.0,80.0,8.0,128.0,2 TB
"REDMI 10 Prime 2022 (Astral White, 64 GB)","₹11,797",4.2,"3,015 Ratings & 216 Reviews",4 GB RAM | 64 GB ROM,REDMI,10 Prime 2022,Astral White,11797.0,3015.0,216.0,4.0,64.0,
"MOTOROLA G40 Fusion (Frosted Champagne, 128 GB)","₹16,499",4.2,"55,864 Ratings & 6,036 Reviews",6 GB RAM | 128 GB ROM,MOTOROLA,G40 Fusion,Frosted Champagne,16499.0,55864.0,6036.0,6.0,128.0,
"REDMI Note 11S (Polar White, 128 GB)","₹16,480",4.2,"2,082 Ratings & 170 Reviews",6 GB RAM | 128 GB ROM,REDMI,Note 11S,Polar White,16480.0,2082.0,170.0,6.0,128.0,
"MOTOROLA g22 (Mint Green, 64 GB)","₹9,499",3.7,"26,741 Ratings & 3,220 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,MOTOROLA,g22,Mint Green,9499.0,26741.0,3220.0,4.0,64.0,1 TB
Kechaoda K66 The Music House 4,"₹1,199",3.9,"15,548 Ratings & 1,207 Reviews",32 MB RAM | 64 MB ROM | Expandable Upto 32 GB,KECHAODA,K66 The Music House 4,,1199.0,15548.0,1207.0,,,32 GB
Kechaoda K66 The Music House 4,"₹1,180",3.9,"15,548 Ratings & 1,207 Reviews",32 MB RAM | 64 MB ROM,KECHAODA,K66 The Music House 4,,1180.0,15548.0,1207.0,,,
